ClaimNo,AccidentDate,ReportDate,Line,Type,ClaimLiability,Limit,Deductible,TotalPayment,PaymentDate,CloseDate,Status,reportedCount,closedPaidCount,closedUnPaidCount,openCount,Paid,Outstanding,Incurred
45,2008-01-22,7/16/2010,Home,Dwelling,True,200000.0,20000,105353.9945,2010-12-05,12/5/2010,CLOSED,1,1,0,0,105353.9945,0,105353.9945
46,2008-01-29,5/16/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-12-17,12/17/2010,CLOSED,1,0,1,0,0.0,0,0.0
47,2008-01-29,9/12/2010,Home,Dwelling,True,200000.0,20000,180000.0,2011-03-26,3/26/2011,CLOSED,1,1,0,0,180000.0,0,180000.0
48,2008-01-12,12/1/2009,Home,Dwelling,True,200000.0,20000,136809.3396,2010-05-11,5/11/2010,CLOSED,1,1,0,0,136809.3396,0,136809.3396
49,2008-01-22,3/5/2010,Home,Dwelling,True,300000.0,20000,184111.6684,2010-08-23,8/23/2010,CLOSED,1,1,0,0,184111.6684,0,184111.6684
50,2008-01-11,12/23/2009,Home,Dwelling,False,300000.0,20000,0.0,2010-07-02,7/2/2010,CLOSED,1,0,1,0,0.0,0,0.0
51,2008-01-16,1/29/2010,Home,Dwelling,False,200000.0,20000,0.0,2010-07-10,7/10/2010,CLOSED,1,0,1,0,0.0,0,0.0
52,2008-01-06,1/25/2010,Home,Dwelling,True,300000.0,20000,155073.138,2010-07-07,7/7/2010,CLOSED,1,1,0,0,155073.138,0,155073.138
53,2008-01-10,8/10/2009,Home,Dwelling,True,300000.0,20000,280000.0,2010-02-22,2/22/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
54,2008-01-19,6/21/2010,Home,Dwelling,True,200000.0,20000,116620.3931,2010-11-19,11/19/2010,CLOSED,1,1,0,0,116620.3931,0,116620.3931
55,2008-01-22,8/24/2010,Home,Dwelling,True,200000.0,20000,86247.02539,2011-01-04,1/4/2011,CLOSED,1,1,0,0,86247.02539,0,86247.02539
56,2008-01-16,2/20/2010,Home,Dwelling,True,200000.0,20000,143301.0798,2010-07-30,7/30/2010,CLOSED,1,1,0,0,143301.0798,0,143301.0798
57,2008-01-14,1/22/2010,Home,Dwelling,True,200000.0,20000,95714.33221000001,2010-06-11,6/11/2010,CLOSED,1,1,0,0,95714.33221000001,0,95714.33221000001
58,2008-01-11,3/6/2010,Home,Dwelling,True,300000.0,20000,183700.89,2010-08-30,8/30/2010,CLOSED,1,1,0,0,183700.89,0,183700.89
59,2008-01-17,2/5/2010,Home,Dwelling,True,300000.0,20000,194895.6592,2010-07-31,7/31/2010,CLOSED,1,1,0,0,194895.6592,0,194895.6592
60,2008-01-18,7/2/2010,Home,Dwelling,True,300000.0,20000,94606.69182000001,2010-11-25,11/25/2010,CLOSED,1,1,0,0,94606.69182000001,0,94606.69182000001
61,2008-01-03,5/14/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-11-11,11/11/2010,CLOSED,1,0,1,0,0.0,0,0.0
62,2008-01-22,8/31/2009,Home,Dwelling,True,200000.0,20000,132744.5383,2010-02-03,2/3/2010,CLOSED,1,1,0,0,132744.5383,0,132744.5383
63,2008-01-12,3/29/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-10-16,10/16/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
64,2008-01-03,4/9/2010,Home,Dwelling,True,300000.0,20000,126593.1752,2010-09-05,9/5/2010,CLOSED,1,1,0,0,126593.1752,0,126593.1752
65,2008-01-17,2/4/2010,Home,Dwelling,True,300000.0,20000,263397.9611,2010-08-06,8/6/2010,CLOSED,1,1,0,0,263397.9611,0,263397.9611
66,2008-01-09,1/16/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-07-13,7/13/2010,CLOSED,1,0,1,0,0.0,0,0.0
67,2008-01-26,10/20/2009,Home,Dwelling,True,300000.0,20000,94184.70612,2010-03-08,3/8/2010,CLOSED,1,1,0,0,94184.70612,0,94184.70612
68,2008-01-18,10/16/2009,Home,Dwelling,True,300000.0,20000,43059.30859,2010-02-07,2/7/2010,CLOSED,1,1,0,0,43059.30859,0,43059.30859
69,2008-01-28,7/17/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-11-12,11/12/2010,CLOSED,1,0,1,0,0.0,0,0.0
70,2008-01-29,5/24/2010,Home,Dwelling,True,300000.0,20000,98553.65936,2010-10-05,10/5/2010,CLOSED,1,1,0,0,98553.65936,0,98553.65936
71,2008-01-12,9/12/2009,Home,Dwelling,True,300000.0,20000,139757.7749,2010-02-18,2/18/2010,CLOSED,1,1,0,0,139757.7749,0,139757.7749
72,2008-01-05,2/26/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-07-28,7/28/2010,CLOSED,1,0,1,0,0.0,0,0.0
73,2008-01-22,5/7/2010,Home,Dwelling,True,200000.0,20000,96431.09189,2010-09-28,9/28/2010,CLOSED,1,1,0,0,96431.09189,0,96431.09189
74,2008-01-08,5/18/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-11-16,11/16/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
75,2008-01-01,7/11/2010,Home,Dwelling,False,300000.0,20000,0.0,2011-01-12,1/12/2011,CLOSED,1,0,1,0,0.0,0,0.0
76,2008-01-13,6/25/2010,Home,Dwelling,True,300000.0,20000,230141.7947,2010-12-23,12/23/2010,CLOSED,1,1,0,0,230141.7947,0,230141.7947
77,2008-01-21,1/27/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-06-01,6/1/2010,CLOSED,1,0,1,0,0.0,0,0.0
78,2008-01-07,12/3/2009,Home,Dwelling,True,300000.0,20000,124591.9939,2010-04-30,4/30/2010,CLOSED,1,1,0,0,124591.9939,0,124591.9939
79,2008-01-24,2/4/2010,Home,Dwelling,True,300000.0,20000,129821.8226,2010-07-14,7/14/2010,CLOSED,1,1,0,0,129821.8226,0,129821.8226
80,2008-01-04,6/16/2010,Home,Dwelling,True,300000.0,20000,59773.790689999994,2010-09-22,9/22/2010,CLOSED,1,1,0,0,59773.790689999994,0,59773.790689999994
81,2008-01-12,1/10/2010,Home,Dwelling,True,200000.0,20000,170483.9232,2010-06-21,6/21/2010,CLOSED,1,1,0,0,170483.9232,0,170483.9232
82,2008-01-21,6/5/2010,Home,Dwelling,True,300000.0,20000,207903.3983,2010-11-28,11/28/2010,CLOSED,1,1,0,0,207903.3983,0,207903.3983
83,2008-01-03,12/30/2009,Home,Dwelling,True,300000.0,20000,86178.24602,2010-05-15,5/15/2010,CLOSED,1,1,0,0,86178.24602,0,86178.24602
84,2008-01-16,3/3/2010,Home,Dwelling,True,300000.0,20000,232371.075,2010-09-06,9/6/2010,CLOSED,1,1,0,0,232371.075,0,232371.075
85,2008-01-03,4/19/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-11-07,11/7/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
86,2008-01-13,10/13/2009,Home,Dwelling,True,300000.0,20000,176913.8869,2010-03-30,3/30/2010,CLOSED,1,1,0,0,176913.8869,0,176913.8869
87,2008-01-10,7/9/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-11-20,11/20/2010,CLOSED,1,0,1,0,0.0,0,0.0
88,2008-01-03,4/5/2010,Home,Dwelling,True,200000.0,20000,160805.066,2010-09-18,9/18/2010,CLOSED,1,1,0,0,160805.066,0,160805.066
89,2008-01-13,2/22/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-09-25,9/25/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
90,2008-01-20,4/20/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-10-21,10/21/2010,CLOSED,1,0,1,0,0.0,0,0.0
91,2008-01-29,12/8/2009,Home,Dwelling,False,300000.0,20000,0.0,2010-06-17,6/17/2010,CLOSED,1,0,1,0,0.0,0,0.0
92,2008-01-30,7/11/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-12-24,12/24/2010,CLOSED,1,0,1,0,0.0,0,0.0
93,2008-01-16,3/25/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-10-01,10/1/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
94,2008-01-25,4/5/2010,Home,Dwelling,False,200000.0,20000,0.0,2010-10-05,10/5/2010,CLOSED,1,0,1,0,0.0,0,0.0
95,2008-01-24,1/3/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-07-12,7/12/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
96,2008-01-10,2/5/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-08-19,8/19/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
97,2008-01-12,4/15/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-11-16,11/16/2010,CLOSED,1,0,1,0,0.0,0,0.0
98,2008-01-26,12/5/2009,Home,Dwelling,False,200000.0,20000,0.0,2010-05-20,5/20/2010,CLOSED,1,0,1,0,0.0,0,0.0
99,2008-01-24,4/27/2010,Home,Dwelling,True,300000.0,20000,76770.19499,2010-09-06,9/6/2010,CLOSED,1,1,0,0,76770.19499,0,76770.19499
100,2008-01-16,3/9/2010,Home,Dwelling,True,300000.0,20000,237477.0874,2010-09-12,9/12/2010,CLOSED,1,1,0,0,237477.0874,0,237477.0874
101,2008-01-17,4/5/2010,Home,Dwelling,True,300000.0,20000,267360.1322,2010-10-14,10/14/2010,CLOSED,1,1,0,0,267360.1322,0,267360.1322
102,2008-01-21,3/15/2010,Home,Dwelling,True,300000.0,20000,101013.1975,2010-08-07,8/7/2010,CLOSED,1,1,0,0,101013.1975,0,101013.1975
103,2008-01-09,10/6/2009,Home,Dwelling,True,300000.0,20000,62599.15345,2010-02-05,2/5/2010,CLOSED,1,1,0,0,62599.15345,0,62599.15345
104,2008-02-11,1/11/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-07-22,7/22/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
105,2008-02-12,6/9/2009,Home,Dwelling,False,200000.0,20000,0.0,2009-11-17,11/17/2009,CLOSED,1,0,1,0,0.0,0,0.0
106,2008-02-05,12/19/2009,Home,Dwelling,True,200000.0,20000,78931.73675,2010-05-02,5/2/2010,CLOSED,1,1,0,0,78931.73675,0,78931.73675
107,2008-02-18,4/9/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-10-10,10/10/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
108,2008-02-08,9/12/2009,Home,Dwelling,True,300000.0,20000,149564.3856,2010-02-21,2/21/2010,CLOSED,1,1,0,0,149564.3856,0,149564.3856
109,2008-02-13,8/2/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-10-27,10/27/2010,CLOSED,1,0,1,0,0.0,0,0.0
110,2008-02-23,12/14/2009,Home,Dwelling,True,300000.0,20000,280000.0,2010-06-26,6/26/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
111,2008-02-14,5/9/2010,Home,Dwelling,False,200000.0,20000,0.0,2010-12-07,12/7/2010,CLOSED,1,0,1,0,0.0,0,0.0
112,2008-02-12,1/10/2010,Home,Dwelling,True,300000.0,20000,232470.4985,2010-07-15,7/15/2010,CLOSED,1,1,0,0,232470.4985,0,232470.4985
113,2008-02-27,9/12/2010,Home,Dwelling,True,200000.0,20000,180000.0,2011-04-01,4/1/2011,CLOSED,1,1,0,0,180000.0,0,180000.0
114,2008-02-26,12/22/2009,Home,Dwelling,False,300000.0,20000,0.0,2010-07-15,7/15/2010,CLOSED,1,0,1,0,0.0,0,0.0
115,2008-02-24,8/24/2010,Home,Dwelling,True,200000.0,20000,180000.0,2011-03-11,3/11/2011,CLOSED,1,1,0,0,180000.0,0,180000.0
116,2008-02-19,1/25/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-08-20,8/20/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
117,2008-02-12,5/31/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-11-10,11/10/2010,CLOSED,1,0,1,0,0.0,0,0.0
118,2008-02-12,3/12/2010,Home,Dwelling,True,300000.0,20000,186315.8626,2010-09-02,9/2/2010,CLOSED,1,1,0,0,186315.8626,0,186315.8626
119,2008-02-01,4/4/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-10-24,10/24/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
120,2008-02-24,2/27/2010,Home,Dwelling,True,300000.0,20000,144051.7903,2010-08-09,8/9/2010,CLOSED,1,1,0,0,144051.7903,0,144051.7903
121,2008-02-05,2/13/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-08-08,8/8/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
122,2008-02-08,6/4/2010,Home,Dwelling,True,300000.0,20000,280000.0,2011-01-03,1/3/2011,CLOSED,1,1,0,0,280000.0,0,280000.0
123,2008-02-13,12/22/2009,Home,Dwelling,True,200000.0,20000,180000.0,2010-06-30,6/30/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
124,2008-02-01,3/18/2010,Home,Dwelling,True,300000.0,20000,94121.25989,2010-08-01,8/1/2010,CLOSED,1,1,0,0,94121.25989,0,94121.25989
125,2008-02-06,12/14/2009,Home,Dwelling,True,200000.0,20000,75541.74037,2010-04-11,4/11/2010,CLOSED,1,1,0,0,75541.74037,0,75541.74037
126,2008-02-02,4/23/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-12-09,12/9/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
127,2008-02-09,3/21/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-10-05,10/5/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
128,2008-02-04,9/2/2009,Home,Dwelling,False,300000.0,20000,0.0,2010-02-24,2/24/2010,CLOSED,1,0,1,0,0.0,0,0.0
129,2008-02-25,2/4/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-07-31,7/31/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
130,2008-02-16,4/11/2009,Home,Dwelling,True,300000.0,20000,207719.7067,2009-10-09,10/9/2009,CLOSED,1,1,0,0,207719.7067,0,207719.7067
131,2008-02-23,12/16/2009,Home,Dwelling,False,300000.0,20000,0.0,2010-06-02,6/2/2010,CLOSED,1,0,1,0,0.0,0,0.0
132,2008-02-17,11/20/2009,Home,Dwelling,True,200000.0,20000,70609.06958,2010-03-20,3/20/2010,CLOSED,1,1,0,0,70609.06958,0,70609.06958
133,2008-02-04,1/24/2010,Home,Dwelling,True,200000.0,20000,165182.4742,2010-07-11,7/11/2010,CLOSED,1,1,0,0,165182.4742,0,165182.4742
134,2008-02-11,5/1/2010,Home,Dwelling,False,200000.0,20000,0.0,2010-10-13,10/13/2010,CLOSED,1,0,1,0,0.0,0,0.0
135,2008-02-03,7/16/2010,Home,Dwelling,True,200000.0,20000,180000.0,2011-01-17,1/17/2011,CLOSED,1,1,0,0,180000.0,0,180000.0
136,2008-02-15,3/23/2010,Home,Dwelling,False,200000.0,20000,0.0,2010-07-11,7/11/2010,CLOSED,1,0,1,0,0.0,0,0.0
137,2008-02-05,1/3/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-08-01,8/1/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
138,2008-02-14,10/31/2009,Home,Dwelling,True,300000.0,20000,69689.20732,2010-02-25,2/25/2010,CLOSED,1,1,0,0,69689.20732,0,69689.20732
139,2008-02-19,3/8/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-09-29,9/29/2010,CLOSED,1,0,1,0,0.0,0,0.0
140,2008-02-07,10/25/2009,Home,Dwelling,True,300000.0,20000,280000.0,2010-05-20,5/20/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
141,2008-02-13,3/1/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-09-10,9/10/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
142,2008-02-26,4/9/2010,Home,Dwelling,True,300000.0,20000,151292.5831,2010-09-16,9/16/2010,CLOSED,1,1,0,0,151292.5831,0,151292.5831
143,2008-02-21,5/26/2010,Home,Dwelling,False,200000.0,20000,0.0,2010-12-14,12/14/2010,CLOSED,1,0,1,0,0.0,0,0.0
144,2008-02-06,12/12/2009,Home,Dwelling,True,200000.0,20000,149501.1629,2010-05-25,5/25/2010,CLOSED,1,1,0,0,149501.1629,0,149501.1629
145,2008-02-21,12/18/2009,Home,Dwelling,True,300000.0,20000,165001.9195,2010-06-04,6/4/2010,CLOSED,1,1,0,0,165001.9195,0,165001.9195
146,2008-02-23,2/7/2010,Home,Dwelling,True,300000.0,20000,120590.1676,2010-06-29,6/29/2010,CLOSED,1,1,0,0,120590.1676,0,120590.1676
147,2008-02-24,9/12/2010,Home,Dwelling,True,200000.0,20000,180000.0,2011-04-17,4/17/2011,CLOSED,1,1,0,0,180000.0,0,180000.0
148,2008-02-25,2/11/2010,Home,Dwelling,True,300000.0,20000,123679.6142,2010-07-12,7/12/2010,CLOSED,1,1,0,0,123679.6142,0,123679.6142
149,2008-02-13,2/26/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-07-17,7/17/2010,CLOSED,1,0,1,0,0.0,0,0.0
150,2008-02-17,10/3/2009,Home,Dwelling,True,200000.0,20000,180000.0,2010-03-26,3/26/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
151,2008-02-11,10/24/2009,Home,Dwelling,True,300000.0,20000,155473.5665,2010-04-05,4/5/2010,CLOSED,1,1,0,0,155473.5665,0,155473.5665
152,2008-02-09,3/10/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-09-19,9/19/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
153,2008-02-21,4/14/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-09-29,9/29/2010,CLOSED,1,0,1,0,0.0,0,0.0
154,2008-02-03,7/18/2009,Home,Dwelling,False,200000.0,20000,0.0,2009-12-12,12/12/2009,CLOSED,1,0,1,0,0.0,0,0.0
155,2008-02-26,3/24/2010,Home,Dwelling,True,300000.0,20000,167214.1325,2010-09-12,9/12/2010,CLOSED,1,1,0,0,167214.1325,0,167214.1325
156,2008-02-23,1/19/2010,Home,Dwelling,True,200000.0,20000,155825.9621,2010-06-29,6/29/2010,CLOSED,1,1,0,0,155825.9621,0,155825.9621
157,2008-02-03,5/24/2010,Home,Dwelling,True,300000.0,20000,128330.9642,2010-10-24,10/24/2010,CLOSED,1,1,0,0,128330.9642,0,128330.9642
158,2008-02-21,5/21/2010,Home,Dwelling,True,300000.0,20000,77430.95947999999,2010-09-29,9/29/2010,CLOSED,1,1,0,0,77430.95947999999,0,77430.95947999999
159,2008-02-28,2/7/2010,Home,Dwelling,True,200000.0,20000,177825.1147,2010-07-30,7/30/2010,CLOSED,1,1,0,0,177825.1147,0,177825.1147
160,2008-02-13,1/2/2010,Home,Dwelling,True,300000.0,20000,75114.86617000001,2010-05-11,5/11/2010,CLOSED,1,1,0,0,75114.86617000001,0,75114.86617000001
161,2008-02-12,1/17/2010,Home,Dwelling,True,300000.0,20000,228121.7934,2010-07-16,7/16/2010,CLOSED,1,1,0,0,228121.7934,0,228121.7934
162,2008-02-26,8/18/2010,Home,Dwelling,False,300000.0,20000,0.0,2011-02-17,2/17/2011,CLOSED,1,0,1,0,0.0,0,0.0
163,2008-02-18,10/12/2009,Home,Dwelling,True,300000.0,20000,145776.6543,2010-03-20,3/20/2010,CLOSED,1,1,0,0,145776.6543,0,145776.6543
164,2008-02-21,5/27/2010,Home,Dwelling,True,300000.0,20000,239969.3171,2010-12-01,12/1/2010,CLOSED,1,1,0,0,239969.3171,0,239969.3171
165,2008-02-23,6/28/2010,Home,Dwelling,True,300000.0,20000,101955.3793,2010-11-19,11/19/2010,CLOSED,1,1,0,0,101955.3793,0,101955.3793
166,2008-02-04,3/3/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-07-17,7/17/2010,CLOSED,1,0,1,0,0.0,0,0.0
167,2008-02-25,5/6/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-11-06,11/6/2010,CLOSED,1,0,1,0,0.0,0,0.0
168,2008-02-01,3/13/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-10-11,10/11/2010,CLOSED,1,0,1,0,0.0,0,0.0
169,2008-02-27,3/2/2010,Home,Dwelling,True,300000.0,20000,48054.52119,2010-06-13,6/13/2010,CLOSED,1,1,0,0,48054.52119,0,48054.52119
170,2008-02-04,4/2/2010,Home,Dwelling,True,300000.0,20000,276388.0953,2010-10-11,10/11/2010,CLOSED,1,1,0,0,276388.0953,0,276388.0953
